timestamp,user_id,phase,state,anchor_light_lux,anchor_aroma_level,anchor_temp_delta_c,model_light_delta,model_aroma_delta,model_temp_delta_c,final_light_lux,final_aroma_level,final_temp_delta_c,safety_violated
2026-06-11T22:29:00+08:00,u_001,PRE_SLEEP,S3,1.8,0.35,-0.8,0.01,0.026,-0.019,1.81,0.376,-0.819,False
2026-06-11T22:30:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,-0.045,0.033,-0.039,1.755,0.383,-0.839,False
2026-06-11T22:31:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,-0.031,0.033,-0.028,1.769,0.383,-0.828,False
2026-06-11T22:32:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,-0.059,0.015,0.022,1.741,0.365,-0.778,False
2026-06-11T22:33:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,-0.001,0.018,-0.008,1.799,0.368,-0.808,False
2026-06-11T22:34:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,-0.014,-0.001,-0.016,1.786,0.349,-0.816,False
2026-06-11T22:35:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,-0.022,0.027,-0.055,1.778,0.377,-0.855,False
2026-06-11T22:36:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,-0.016,0.032,-0.021,1.784,0.382,-0.821,False
2026-06-11T22:37:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,-0.025,0.028,-0.033,1.775,0.378,-0.833,False
2026-06-11T22:38:00+08:00,u_001,INDUCTION,S4,2.0,0.2,-0.5,0.022,0.016,-0.007,2.022,0.278,-0.507,True
2026-06-11T22:39:00+08:00,u_001,INDUCTION,S4,2.0,0.2,-0.5,-0.031,-0.0,0.005,1.969,0.2,-0.495,False
2026-06-11T22:40:00+08:00,u_001,INDUCTION,S4,2.0,0.2,-0.5,0.001,0.013,0.01,2.001,0.213,-0.49,False
2026-06-11T22:41:00+08:00,u_001,INDUCTION,S4,2.0,0.2,-0.5,-0.053,0.011,-0.075,1.947,0.211,-0.575,False
2026-06-11T22:42:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,0.01,0.005,0.004,1.81,0.311,-0.796,True
2026-06-11T22:43:00+08:00,u_001,INDUCTION,S3,1.8,0.35,-0.8,0.01,0.006,-0.02,1.81,0.356,-0.82,False
2026-06-11T22:44:00+08:00,u_001,INDUCTION,S4,2.0,0.2,-0.5,0.036,-0.013,0.018,2.036,0.256,-0.482,True
2026-06-11T22:45:00+08:00,u_001,INDUCTION,S4,2.0,0.2,-0.5,0.002,0.018,-0.052,2.002,0.218,-0.552,False
2026-06-11T22:46:00+08:00,u_001,INDUCTION,S4,2.0,0.2,-0.5,0.0,0.011,0.041,2.0,0.211,-0.459,False
2026-06-11T22:47:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.023,-0.003,0.055,1.977,0.197,-0.445,False
2026-06-11T22:48:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.047,0.01,-0.003,1.953,0.21,-0.503,False
2026-06-11T22:49:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.005,-0.008,0.029,2.005,0.192,-0.471,False
2026-06-11T22:50:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.027,0.018,-0.024,2.027,0.218,-0.524,False
2026-06-11T22:51:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.014,0.013,0.054,1.986,0.213,-0.446,False
2026-06-11T22:52:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.003,-0.013,-0.011,1.997,0.187,-0.511,False
2026-06-11T22:53:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.029,0.012,0.033,2.029,0.212,-0.467,False
2026-06-11T22:54:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.057,-0.004,-0.029,2.057,0.196,-0.529,False
2026-06-11T22:55:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.036,-0.001,0.031,1.964,0.199,-0.469,False
2026-06-11T22:56:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.05,0.004,-0.002,2.05,0.204,-0.502,False
2026-06-11T22:57:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.004,0.012,-0.023,1.996,0.212,-0.523,False
2026-06-11T22:58:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.003,-0.001,-0.001,1.997,0.199,-0.501,False
2026-06-11T22:59:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.054,-0.009,0.074,2.054,0.191,-0.426,False
2026-06-11T23:00:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.02,-0.008,-0.021,1.98,0.192,-0.521,False
2026-06-11T23:01:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.019,-0.0,0.034,2.019,0.2,-0.466,False
2026-06-11T23:02:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.025,-0.017,-0.011,1.975,0.183,-0.511,False
2026-06-11T23:03:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.007,-0.01,-0.005,2.007,0.19,-0.505,False
2026-06-11T23:04:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.014,-0.008,-0.028,2.014,0.192,-0.528,False
2026-06-11T23:05:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.033,-0.001,0.014,1.967,0.199,-0.486,False
2026-06-11T23:06:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.082,0.012,-0.038,2.082,0.212,-0.538,False
2026-06-11T23:07:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.046,-0.001,0.047,1.954,0.199,-0.453,False
2026-06-11T23:08:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.02,-0.005,0.03,2.02,0.195,-0.47,False
2026-06-11T23:09:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.041,0.015,-0.032,2.041,0.215,-0.532,False
2026-06-11T23:10:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.013,-0.013,-0.024,2.013,0.187,-0.524,False
2026-06-11T23:11:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.038,-0.003,-0.043,1.962,0.197,-0.543,False
2026-06-11T23:12:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.023,-0.0,-0.026,2.023,0.2,-0.526,False
2026-06-11T23:13:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.015,0.015,0.01,2.015,0.215,-0.49,False
2026-06-11T23:14:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.018,-0.003,-0.003,1.982,0.197,-0.503,False
2026-06-11T23:15:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.021,-0.017,-0.011,1.979,0.183,-0.511,False
2026-06-11T23:16:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.037,-0.008,-0.058,2.037,0.192,-0.558,False
2026-06-11T23:17:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.003,0.011,-0.052,1.997,0.211,-0.552,False
2026-06-11T23:18:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.006,0.004,0.016,2.006,0.204,-0.484,False
2026-06-11T23:19:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.017,0.006,-0.048,2.017,0.206,-0.548,False
2026-06-11T23:20:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.018,0.014,-0.007,2.018,0.214,-0.507,False
2026-06-11T23:21:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.011,-0.01,0.039,2.011,0.19,-0.461,False
2026-06-11T23:22:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.019,0.016,-0.011,1.981,0.216,-0.511,False
2026-06-11T23:23:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.02,-0.005,0.056,2.02,0.195,-0.444,False
2026-06-11T23:24:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.059,0.004,-0.062,1.941,0.204,-0.562,False
2026-06-11T23:25:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.036,0.019,0.027,1.964,0.219,-0.473,False
2026-06-11T23:26:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,-0.06,-0.0,-0.019,1.94,0.2,-0.519,False
2026-06-11T23:27:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.017,0.019,0.02,2.017,0.219,-0.48,False
2026-06-11T23:28:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.013,0.005,-0.033,2.013,0.205,-0.533,False
2026-06-11T23:29:00+08:00,u_001,N1_N2,S4,2.0,0.2,-0.5,0.021,0.009,-0.018,2.021,0.209,-0.518,False
2026-06-11T23:30:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,-0.019,0.014,0.006,1.981,0.214,-0.494,False
2026-06-11T23:31:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,-0.034,-0.004,-0.014,1.966,0.196,-0.514,False
2026-06-11T23:32:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,-0.002,-0.001,-0.007,1.998,0.199,-0.507,False
2026-06-11T23:33:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,0.05,0.008,0.044,2.05,0.208,-0.456,False
2026-06-11T23:34:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,-0.051,0.001,0.035,1.949,0.201,-0.465,False
2026-06-11T23:35:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,0.022,-0.007,-0.023,2.022,0.193,-0.523,False
2026-06-11T23:36:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,0.029,-0.002,0.019,2.029,0.198,-0.481,False
2026-06-11T23:37:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,0.005,-0.001,0.004,2.005,0.199,-0.496,False
2026-06-11T23:38:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,-0.025,0.017,0.016,1.975,0.217,-0.484,False
2026-06-11T23:39:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,0.042,-0.005,-0.016,2.042,0.195,-0.516,False
2026-06-11T23:40:00+08:00,u_001,SLEEP,S4,2.0,0.2,-0.5,-0.01,-0.009,0.02,1.99,0.191,-0.48,False
